computer_data,aspect_sentiment,review,aspects,sentiment_score,sentiment
"colors[+1] ## The colors are bright , beautiful and clear .",colors[+1] ," The colors are bright , beautiful and clear .",colors ,1,positive
"resolution[+1] ## I am in the business and have seen many 19 '' LCD monitors that sell for much , much more , and aside from monitors with a higher resolution -LRB- ie 1600 x 1200 -RRB- , there is no noticable difference at all .",resolution[+1] ," I am in the business and have seen many 19 '' LCD monitors that sell for much , much more , and aside from monitors with a higher resolution -LRB- ie 1600 x 1200 -RRB- , there is no noticable difference at all .",resolution ,1,positive
price[+1] ## This product is hard to beat at any price .,price[+1] , This product is hard to beat at any price .,price ,1,positive
viewing angle[-1] ## I agree with the earlier reviewer who said that there is a very limited vertical viewing angle in order to get consistent contrast .,viewing angle[-1] , I agree with the earlier reviewer who said that there is a very limited vertical viewing angle in order to get consistent contrast .,viewing angle ,-1,negative
"monitor[+1], price[+1] ## Otherwise a very decent monitor for its price .","monitor[+1], price[+1] ", Otherwise a very decent monitor for its price .,"monitor, price ",1,positive
"## I bought this item at Target for $ 197 , and added to 4G ram the same day .",," I bought this item at Target for $ 197 , and added to 4G ram the same day .",,0,neutral
"## When I got home , I uninstalled every useless software , removed others from Start Up list , disabled some services , and other tweaks .",," When I got home , I uninstalled every useless software , removed others from Start Up list , disabled some services , and other tweaks .",,0,neutral
"## Then , I installed PotPlayer -LRB- install the 64bit version -RRB- on it .",," Then , I installed PotPlayer -LRB- install the 64bit version -RRB- on it .",,0,neutral
## PotPlayer is the King of all PC media player .,, PotPlayer is the King of all PC media player .,,0,neutral
## It uses GPU hardware acceleration by default .,, It uses GPU hardware acceleration by default .,,0,neutral
"## Now I can play 1080p movie from NAS drive , downloading with uTorrent , browsing internet all at the same time .",," Now I can play 1080p movie from NAS drive , downloading with uTorrent , browsing internet all at the same time .",,0,neutral
## 1080p movie got no stutter or lag at all .,, 1080p movie got no stutter or lag at all .,,0,neutral
smooth[+1][a] ## Very smooth .,smooth[+1][a] , Very smooth .,smooth ,1,positive
"## Before I installed PotPlayer , I used KMPlayer , PowerDVD , Corel WinDVD and none of them could play 1080P smoothly .",," Before I installed PotPlayer , I used KMPlayer , PowerDVD , Corel WinDVD and none of them could play 1080P smoothly .",,0,neutral
"## Audio was always laggish , stuttered , delayed , out of sync ... After I used PotPlayer , it 's like totally a different world ; The difference is like Black and White .",," Audio was always laggish , stuttered , delayed , out of sync ... After I used PotPlayer , it 's like totally a different world ; The difference is like Black and White .",,0,neutral
GPU hardware acceleration[+1] ## I think the real reason that made the changes is that it now uses GPU hardware acceleration .,GPU hardware acceleration[+1] , I think the real reason that made the changes is that it now uses GPU hardware acceleration .,GPU hardware acceleration ,1,positive
"laptop[+1], small[+1][a] ## So far , I am super happy with this small yet powerful enough laptop .","laptop[+1], small[+1][a] "," So far , I am super happy with this small yet powerful enough laptop .","laptop, small ",1,positive
"## It does everything I want , especially on 1080p HD playback part .",," It does everything I want , especially on 1080p HD playback part .",,0,neutral
## I am really amazed that it can play 1080p movie flawlessly .,, I am really amazed that it can play 1080p movie flawlessly .,,0,neutral
"## Again , if you can not play 1080p movie smoothly , I am very sure your media player does n't enable GPU hardware acceleration .",," Again , if you can not play 1080p movie smoothly , I am very sure your media player does n't enable GPU hardware acceleration .",,0,neutral
## My suggestion is to download PotPlayer .,, My suggestion is to download PotPlayer .,,0,neutral
"image quality[-1] ## If you are not picky about image quality , go for it .",image quality[-1] ," If you are not picky about image quality , go for it .",image quality ,-1,negative
## Otherwise get something more expensive .,, Otherwise get something more expensive .,,0,neutral
"contrast[+1], brightness[+1], viewing angles[+1] ## I can see a drastic difference between this monitor and Dell Ultrasharp in terms of contrast , brightness and viewing angles .","contrast[+1], brightness[+1], viewing angles[+1] "," I can see a drastic difference between this monitor and Dell Ultrasharp in terms of contrast , brightness and viewing angles .","contrast, brightness, viewing angles ",1,positive
"## These were a ` drop dead deal ' when Target sold them for $ 200 over the Holidays , but they are still a solid value at current prices .",," These were a ` drop dead deal ' when Target sold them for $ 200 over the Holidays , but they are still a solid value at current prices .",,0,neutral
## You will not be disappointed .,, You will not be disappointed .,,0,neutral
"## However , if you are still on the fence , Staples has them for under 300 , starting this Sunday -LRB- Feb 19 -RRB- , equipped with 4 gig of ram !",," However , if you are still on the fence , Staples has them for under 300 , starting this Sunday -LRB- Feb 19 -RRB- , equipped with 4 gig of ram !",,0,neutral
"## EDIT : Beep can be fixed , see Violet Swordsmith 's heroic method below .",," EDIT : Beep can be fixed , see Violet Swordsmith 's heroic method below .",,0,neutral
## Please ignore all the posts about turning off the sounds under sounds .,, Please ignore all the posts about turning off the sounds under sounds .,,0,neutral
"computer[+1] ## : P Fantastic little computer , does everything I had hoped for work\/study\/travel .",computer[+1] ," : P Fantastic little computer , does everything I had hoped for work\/study\/travel .",computer ,1,positive
"beeps[-1][v] ## However , when you unplug the computer it beeps .",beeps[-1][v] ," However , when you unplug the computer it beeps .",beeps ,-1,negative
## Not a big deal ?,, Not a big deal ?,,0,neutral
## HA !,, HA !,,0,neutral
"## You CAN NOT turn it off , trust me I 've scoured the internet and even did two hour long chats with Acer -LRB- they pretend they have no idea what is going on then want to charge you money to diagnose the problem .",," You CAN NOT turn it off , trust me I 've scoured the internet and even did two hour long chats with Acer -LRB- they pretend they have no idea what is going on then want to charge you money to diagnose the problem .",,0,neutral
## lulz -RRB- .,, lulz -RRB- .,,0,neutral
"## Anyway , why is this a big deal , it 's just a beep ?",," Anyway , why is this a big deal , it 's just a beep ?",,0,neutral
"## Well , because it is deafening if you have head phone on , or connected to external speakers b\/c the noise is MAXIMUM volume every time .",," Well , because it is deafening if you have head phone on , or connected to external speakers b\/c the noise is MAXIMUM volume every time .",,0,neutral
"computer[+1], customer service[-1] ## Wonderful computer , horrible customer service , and I may be deaf come next year .","computer[+1], customer service[-1] "," Wonderful computer , horrible customer service , and I may be deaf come next year .","computer, customer service ",1,positive
customer service[-1] ## Would n't buy again because of the customer service .,customer service[-1] , Would n't buy again because of the customer service .,customer service ,-1,negative
## I ordered this monitor from Amazon on Thursday and I received it on Monday .,, I ordered this monitor from Amazon on Thursday and I received it on Monday .,,0,neutral
shipping service[+1] ## This was very prompt standard shipping service .,shipping service[+1] , This was very prompt standard shipping service .,shipping service ,1,positive
## I have limited space with not enough room for a wide screen monitor .,, I have limited space with not enough room for a wide screen monitor .,,0,neutral
fits[+1][v] ## This 4 X 3 monitor fits my space very well .,fits[+1][v] , This 4 X 3 monitor fits my space very well .,fits ,1,positive
"monitor[+1], display[+1] ## The monitor works very well with a sharp and bright display .","monitor[+1], display[+1] ", The monitor works very well with a sharp and bright display .,"monitor, display ",1,positive
## I have been using it for about a month and am well pleased with it .,, I have been using it for about a month and am well pleased with it .,,0,neutral
instructions[-1] ## The only negative thing about this was the instructions for adjusting the display were not very clear and it took a little time to figure out how to do it .,instructions[-1] , The only negative thing about this was the instructions for adjusting the display were not very clear and it took a little time to figure out how to do it .,instructions ,-1,negative
## I purchased this as a Christmas gift .,, I purchased this as a Christmas gift .,,0,neutral
keyboard connector[-1] ## While upgrading the memory the keyboard connector broke .,keyboard connector[-1] , While upgrading the memory the keyboard connector broke .,keyboard connector ,-1,negative
"## Not enough time to get a repair before Christmas , so I bought a second one .",," Not enough time to get a repair before Christmas , so I bought a second one .",,0,neutral
## Same result .,, Same result .,,0,neutral
"machine[-1], Acer[-1] ## I 'm not very happy with this machine or Acer .","machine[-1], Acer[-1] ", I 'm not very happy with this machine or Acer .,"machine, Acer ",-1,negative
## Update : I sent both machines back to Acer .,, Update : I sent both machines back to Acer .,,0,neutral
## They just informed me that they wanted $ 99\/unit to fix the problem .,, They just informed me that they wanted $ 99\/unit to fix the problem .,,0,neutral
Acer product[-1] ## I would not recommend this or any Acer product to anyone except perhaps my ex .,Acer product[-1] , I would not recommend this or any Acer product to anyone except perhaps my ex .,Acer product ,-1,negative
## -LRB- \* _ ~ -RRB-,, -LRB- \* _ ~ -RRB-,,0,neutral
## I ca n't go back to using anything else at all .,, I ca n't go back to using anything else at all .,,0,neutral
"## Make sure you have a nice , smooth mouse , as well a rig that can push out -RRB- 120 FPS on most games .",," Make sure you have a nice , smooth mouse , as well a rig that can push out -RRB- 120 FPS on most games .",,0,neutral
"## Even my SLI 570 's ca n't do that for Crysis , though .",," Even my SLI 570 's ca n't do that for Crysis , though .",,0,neutral
"brightness[+1] ## Changing brightness is easy , with four presets and one user changeable -LRB- I leave that at minimum brightness for at night -RRB- .",brightness[+1] ," Changing brightness is easy , with four presets and one user changeable -LRB- I leave that at minimum brightness for at night -RRB- .",brightness ,1,positive
"screen[+1], colors[+1] ## The screen is a very pleasing matte , and the colors are great .","screen[+1], colors[+1] "," The screen is a very pleasing matte , and the colors are great .","screen, colors ",1,positive
## You change it to 120 Hz in the advanced screen resolution settings in Windows 7 .,, You change it to 120 Hz in the advanced screen resolution settings in Windows 7 .,,0,neutral
monitor[+1] ## I have used this monitor for a few months and have had no problems .,monitor[+1] , I have used this monitor for a few months and have had no problems .,monitor ,1,positive
"color[+1], price[+1] ## It has good color and price was great .","color[+1], price[+1] ", It has good color and price was great .,"color, price ",1,positive
display[+1] ## Fantastic display ... do n't understand why this model is n't available anymore .,display[+1] , Fantastic display ... do n't understand why this model is n't available anymore .,display ,1,positive
"lines[+1], viewing angle[+1], price[+1] ## Bright , vivid , clean lines , wide viewing angle , and best of all - great price !","lines[+1], viewing angle[+1], price[+1] "," Bright , vivid , clean lines , wide viewing angle , and best of all - great price !","lines, viewing angle, price ",1,positive
## I 'd been looking a long time for a 1280x1024 LCD monitor with with digital DVI input for around 1000 bucks .,, I 'd been looking a long time for a 1280x1024 LCD monitor with with digital DVI input for around 1000 bucks .,,0,neutral
"## A simple request , but impossible to fill !",," A simple request , but impossible to fill !",,0,neutral
AG Neovo 's standout 17 '' monitor[+1] ## It was worth the wait because AG Neovo 's standout 17 '' monitor has all this and more .,AG Neovo 's standout 17 '' monitor[+1] , It was worth the wait because AG Neovo 's standout 17 '' monitor has all this and more .,AG Neovo 's standout 17 '' monitor ,17,positive
"## Like a hard glass surface that you can actually Windex , and an attractive minimalist black design that looks like it came from a Swedish furniture showcase .",," Like a hard glass surface that you can actually Windex , and an attractive minimalist black design that looks like it came from a Swedish furniture showcase .",,0,neutral
"contrast[+1], crispness[+1], readability[+1], viewing angles[+1] ## The contrast , crispness , and readability from even the most extreme viewing angles ca n't be beat .","contrast[+1], crispness[+1], readability[+1], viewing angles[+1] "," The contrast , crispness , and readability from even the most extreme viewing angles ca n't be beat .","contrast, crispness, readability, viewing angles ",1,positive
"displays[+1] ## When the Matrox G550 Dual-DVI card comes out , I 'll consider purchasing one more of these super displays .",displays[+1] ," When the Matrox G550 Dual-DVI card comes out , I 'll consider purchasing one more of these super displays .",displays ,1,positive
## This is a great gadget that actually works .,, This is a great gadget that actually works .,,0,neutral
"## Make sure you check the area coverage before you buy it , though .",," Make sure you check the area coverage before you buy it , though .",,0,neutral
## We 've had ours for about 6 months and have no problems with it whatsoever .,, We 've had ours for about 6 months and have no problems with it whatsoever .,,0,neutral
"Expensive[-1][a] ## Expensive , but for us -- well worth it .",Expensive[-1][a] ," Expensive , but for us -- well worth it .",Expensive ,-1,negative
## Now I do n't have to logon to the computer all of the time just to check the weather -- I can just look at my wall .,, Now I do n't have to logon to the computer all of the time just to check the weather -- I can just look at my wall .,,0,neutral
"colors[+1] ## The changing colors help to tell , with a quick glance .",colors[+1] ," The changing colors help to tell , with a quick glance .",colors ,1,positive
## It 's fairly accurate -- I think ... with a very few minor exceptions .,, It 's fairly accurate -- I think ... with a very few minor exceptions .,,0,neutral
device[+1] ## The idea of this device is great : it picks up a 5-day weather forecast from AccuWeather and displays the key elements on its screen .,device[+1] , The idea of this device is great : it picks up a 5-day weather forecast from AccuWeather and displays the key elements on its screen .,device ,1,positive
"## Icons show projected weather conditions and temperature ranges at a glance , along with the current outdoor temperature .",," Icons show projected weather conditions and temperature ranges at a glance , along with the current outdoor temperature .",,0,neutral
"## Unfortunately , if your experience is like mine , you may find yourself spending a fair amount of time corresponding with Ambient 's apparently sole customer service rep trying to get the device to work properly .",," Unfortunately , if your experience is like mine , you may find yourself spending a fair amount of time corresponding with Ambient 's apparently sole customer service rep trying to get the device to work properly .",,0,neutral
## I have owned one of these for several weeks now and am already on my second unit ; Ambient replaced the first one under warranty after first sending me a refurbished pager board that did n't fit in the unit 's plastic case .,, I have owned one of these for several weeks now and am already on my second unit ; Ambient replaced the first one under warranty after first sending me a refurbished pager board that did n't fit in the unit 's plastic case .,,0,neutral
"switch[-1] ## The replacement unit had a problem too : the little switch on the bottom was n't working properly , making it impossible to select among city forecasts in my area .",switch[-1] ," The replacement unit had a problem too : the little switch on the bottom was n't working properly , making it impossible to select among city forecasts in my area .",switch ,-1,negative
"## Because I had already had experience -LRB- too much -RRB- opening the case , I think I managed to solve the problem ; at any rate , the unit appears to be receiving updated forecasts for New York City , which has been my primary objective since I bought it .",," Because I had already had experience -LRB- too much -RRB- opening the case , I think I managed to solve the problem ; at any rate , the unit appears to be receiving updated forecasts for New York City , which has been my primary objective since I bought it .",,0,neutral
"5-day forecaster[+1] ## So if you 're game for a little fiddling , you may be very pleased with this 5-day forecaster .",5-day forecaster[+1] ," So if you 're game for a little fiddling , you may be very pleased with this 5-day forecaster .",5-day forecaster ,5,positive
"## If you ca n't be bothered with things that do n't work properly right out of the box , however , you should probably pass this gadget by .",," If you ca n't be bothered with things that do n't work properly right out of the box , however , you should probably pass this gadget by .",,0,neutral
## I have come to understand why Radio Shack has apparently unloaded their remaining inventory of these at $ 15 a pop ; you may be especially upset by the `` adoption pains '' if you have shelled out the retail price of 100 clams ...,, I have come to understand why Radio Shack has apparently unloaded their remaining inventory of these at $ 15 a pop ; you may be especially upset by the `` adoption pains '' if you have shelled out the retail price of 100 clams ...,,0,neutral
product[-1] ## This product did not work at all .,product[-1] , This product did not work at all .,product ,-1,negative
## It received no signal despite the manufacturers web site indicating full services in my location .,, It received no signal despite the manufacturers web site indicating full services in my location .,,0,neutral
## I was given this screen at work .,, I was given this screen at work .,,0,neutral
"colors[-1], brightness[-1] ## I spend 10 hours\/day in a VNC session with dark colors ; the colors and brightness change across the panel when I look from the center to the corner .","colors[-1], brightness[-1] ", I spend 10 hours\/day in a VNC session with dark colors ; the colors and brightness change across the panel when I look from the center to the corner .,"colors, brightness ",-1,negative
panel[-1] ## For my work this panel is unusable .,panel[-1] , For my work this panel is unusable .,panel ,-1,negative
"viewing angles[-1] ## Others may have better luck , but I have never seen a flat-panel with such horrible viewing angles .",viewing angles[-1] ," Others may have better luck , but I have never seen a flat-panel with such horrible viewing angles .",viewing angles ,-1,negative
"monitors[+1], price[+1] ## These monitors are great for the price .","monitors[+1], price[+1] ", These monitors are great for the price .,"monitors, price ",1,positive
"Shipping[+1], set up[+1][v] ## Shipping was fast and they are very easy to set up .","Shipping[+1], set up[+1][v] ", Shipping was fast and they are very easy to set up .,"Shipping, set up ",1,positive
dead pixels[+1] ## No dead pixels on mine .,dead pixels[+1] , No dead pixels on mine .,dead pixels ,1,positive
"Brightness[-1], viewing angle[-1], price[+1] ## Brightness could be better and the viewing angle is not great , but for the price I paid for a 24inch monitor , this can not be beat .","Brightness[-1], viewing angle[-1], price[+1] "," Brightness could be better and the viewing angle is not great , but for the price I paid for a 24inch monitor , this can not be beat .","Brightness, viewing angle, price ",-1,negative
## I would do it again .,, I would do it again .,,0,neutral
## I did quite a lot of research on this monitor prior to ordering .,, I did quite a lot of research on this monitor prior to ordering .,,0,neutral
"## Checked the reviews at several sites , all were favorable .",," Checked the reviews at several sites , all were favorable .",,0,neutral
price[+1] ## The price is very good .,price[+1] , The price is very good .,price ,1,positive
"instructions[-1] ## I have been disappointed to find that there is no printed instructions with it , just a crude pictorial instruction of installation , which leaves a great deal of information missing .",instructions[-1] ," I have been disappointed to find that there is no printed instructions with it , just a crude pictorial instruction of installation , which leaves a great deal of information missing .",instructions ,-1,negative
## The included accompanying CD containing detailed information does not want to print out on my computer .,, The included accompanying CD containing detailed information does not want to print out on my computer .,,0,neutral
## This info .,, This info .,,0,neutral
## is great but unfortunately I need it on paper .,, is great but unfortunately I need it on paper .,,0,neutral
"running[+1][v], picture[+1] ## However , I now have it running nicely and it produces a nice picture .","running[+1][v], picture[+1] "," However , I now have it running nicely and it produces a nice picture .","running, picture ",1,positive
## It 's worth the money .,, It 's worth the money .,,0,neutral
"## The AOC 2436 Monitor worked very well at first , then seemed to have problems .",," The AOC 2436 Monitor worked very well at first , then seemed to have problems .",,0,neutral
"## AOC replaced the monitor - almost immediately , but it displayed the same problems .",," AOC replaced the monitor - almost immediately , but it displayed the same problems .",,0,neutral
video card[-1] ## The problems came from my video card .,video card[-1] , The problems came from my video card .,video card ,-1,negative
monitors[+1] ## The monitors were both good .,monitors[+1] , The monitors were both good .,monitors ,1,positive
monitor[+1] ## We are well pleased with the monitor and the company .,monitor[+1] , We are well pleased with the monitor and the company .,monitor ,1,positive
machine[+1] ## This machine is a replacement for your desktop .,machine[+1] , This machine is a replacement for your desktop .,machine ,1,positive
"## It 's that powerful and versatile , and if you 're a windows user , the design of the OS X operating system that it runs will enhance your experience and workflow in ways you ca n't even imagine .",," It 's that powerful and versatile , and if you 're a windows user , the design of the OS X operating system that it runs will enhance your experience and workflow in ways you ca n't even imagine .",,0,neutral
## The aluminum frame beats the old titanium design easily .,, The aluminum frame beats the old titanium design easily .,,0,neutral
"heat dissipation[+1] ## Solid , resistant to scratches , better heat dissipation .",heat dissipation[+1] ," Solid , resistant to scratches , better heat dissipation .",heat dissipation ,1,positive
"## Close the lid , then slam it around , drop it , prop it against the wall and kick it over .",," Close the lid , then slam it around , drop it , prop it against the wall and kick it over .",,0,neutral
## You 'll break your foot before you break the laptop .,, You 'll break your foot before you break the laptop .,,0,neutral
"display[+1], text rendering[+1] ## The display is large enough , and the text rendering is sharp enough , that you 'll forget entirely about workspace issues .","display[+1], text rendering[+1] "," The display is large enough , and the text rendering is sharp enough , that you 'll forget entirely about workspace issues .","display, text rendering ",1,positive
"## A piece of advice : Get the new logitech optical USB mouse with the little app-switcher button on it , and assign that extra button to the Expose feature of OS X 10.3 .",," A piece of advice : Get the new logitech optical USB mouse with the little app-switcher button on it , and assign that extra button to the Expose feature of OS X 10.3 .",,0,neutral
## Use it whenever you 're working at a tabletop or desk .,, Use it whenever you 're working at a tabletop or desk .,,0,neutral
## Freaking brilliant .,, Freaking brilliant .,,0,neutral
machine[+1] ## This machine will change your whole idea of what a laptop should be .,machine[+1] , This machine will change your whole idea of what a laptop should be .,machine ,1,positive
## Ordered it immediately after the Macworld keynote .,, Ordered it immediately after the Macworld keynote .,,0,neutral
"small[+1][a], value[+1] ## It 's so small , but big value Mac .","small[+1][a], value[+1] "," It 's so small , but big value Mac .","small, value ",1,positive
## Our `` mini '' is now in the living room attached to a Syntax Olevia LT30HV HDTV and works great !,, Our `` mini '' is now in the living room attached to a Syntax Olevia LT30HV HDTV and works great !,,0,neutral
"Superdrive[+1], WiFi\/Bluetooth modules[+1] ## Highly recommend getting the Superdrive and the WiFi\/Bluetooth modules .","Superdrive[+1], WiFi\/Bluetooth modules[+1] ", Highly recommend getting the Superdrive and the WiFi\/Bluetooth modules .,"Superdrive, WiFi\/Bluetooth modules ",1,positive
"wireless keyboard[+1], mouse[+1] ## Apple 's wireless keyboard and mouse work flawlessly with the mini .","wireless keyboard[+1], mouse[+1] ", Apple 's wireless keyboard and mouse work flawlessly with the mini .,"wireless keyboard, mouse ",1,positive
memory[+1] ## The memory is not really hard to upgrade .,memory[+1] , The memory is not really hard to upgrade .,memory ,1,positive
## I have upgraded ours to 1 Gig with third party SDRAM .,, I have upgraded ours to 1 Gig with third party SDRAM .,,0,neutral
## Opening the case with a `` putty knife '' is not as hard as most people think it is .,, Opening the case with a `` putty knife '' is not as hard as most people think it is .,,0,neutral
## The bundled iLife 05 alone elevates this computer from bargain PCs .,, The bundled iLife 05 alone elevates this computer from bargain PCs .,,0,neutral
value[+1] ## This is an excellent value .,value[+1] , This is an excellent value .,value ,1,positive
insurance[+1] ## Not that Apple computers break down often but this is cheap insurance for 3 years .,insurance[+1] , Not that Apple computers break down often but this is cheap insurance for 3 years .,insurance ,1,positive
## Do n't buy a laptop or desktop without it .,, Do n't buy a laptop or desktop without it .,,0,neutral
"works[+1][v] ## I have this connected to my late 2008 MacBook Pro , and it works flawlessly .",works[+1][v] ," I have this connected to my late 2008 MacBook Pro , and it works flawlessly .",works ,1,positive
"## Numerous people in the Apple Forums had previously complained saying the Apple Displays had sound issues -LRB- end up being due to not upgrading the firmware to current -RRB- , but I did not have any such issues .",," Numerous people in the Apple Forums had previously complained saying the Apple Displays had sound issues -LRB- end up being due to not upgrading the firmware to current -RRB- , but I did not have any such issues .",,0,neutral
"## -LRB- I am running OS\/X Lion and I seem to have the current firmware in the display , and the latest drivers on OS\/X Lion -RRB- Compared to the old 15 '' display , it is like watching IMAX in comparison .",," -LRB- I am running OS\/X Lion and I seem to have the current firmware in the display , and the latest drivers on OS\/X Lion -RRB- Compared to the old 15 '' display , it is like watching IMAX in comparison .",,0,neutral
"sound[+1] ## The sound is pretty good also -LRB- although not anything like a 5.1 surround system -RRB- There is reflection , but I only really notice it when the display is off , in which case you see you own reflection on the screen .",sound[+1] ," The sound is pretty good also -LRB- although not anything like a 5.1 surround system -RRB- There is reflection , but I only really notice it when the display is off , in which case you see you own reflection on the screen .",sound ,1,positive
## I do n't get any anything reflections when the power is on .,, I do n't get any anything reflections when the power is on .,,0,neutral
## Note there is no power switch - it just detects that your computer is on by monitoring the Apple display-port signals .,, Note there is no power switch - it just detects that your computer is on by monitoring the Apple display-port signals .,,0,neutral
"## Some people may not like this , but it is very simple .",," Some people may not like this , but it is very simple .",,0,neutral
## I 'd only recommend you buying this if you 're more DIY\/techie and 'd like to take the time and effort to pry your mini open to see its guts and put this in .,, I 'd only recommend you buying this if you 're more DIY\/techie and 'd like to take the time and effort to pry your mini open to see its guts and put this in .,,0,neutral
## There are numerous detailed installation guides and even a few videos online to get you through the ` cracking the case ' scenario and I definately suggest getting some putty knives over the other strange techniques online .,, There are numerous detailed installation guides and even a few videos online to get you through the ` cracking the case ' scenario and I definately suggest getting some putty knives over the other strange techniques online .,,0,neutral
## As a longtime Mac user - I have always taken the AppleCare extended warranty and have had my money 's worth .,, As a longtime Mac user - I have always taken the AppleCare extended warranty and have had my money 's worth .,,0,neutral
"## Once I bought an iSight camera on eBay that arrived not working , and after trying unsuccessfully contacting the seller turned to Apple telephone support .",," Once I bought an iSight camera on eBay that arrived not working , and after trying unsuccessfully contacting the seller turned to Apple telephone support .",,0,neutral
"## They guided me through some tests and from these concluded that I had a faulty iSight , but to my my enormous surprise said it was covered under my extended AppleCare warranty on my iMac -LRB- even after I told them it was a second hand purchase -RRB- , and promptly sent me a brand new replacement !",," They guided me through some tests and from these concluded that I had a faulty iSight , but to my my enormous surprise said it was covered under my extended AppleCare warranty on my iMac -LRB- even after I told them it was a second hand purchase -RRB- , and promptly sent me a brand new replacement !",,0,neutral
"support[+1] ## Kudos Apple - though your products are of superb quality , your support is equal to that .",support[+1] ," Kudos Apple - though your products are of superb quality , your support is equal to that .",support ,1,positive
product[+1] ## This product is definitely worth the purchase .,product[+1] , This product is definitely worth the purchase .,product ,1,positive
"## While it is unknown whether I will need it or not , there is one thing I have realized when it comes to Apple .",," While it is unknown whether I will need it or not , there is one thing I have realized when it comes to Apple .",,0,neutral
"expensive[-1][a] ## Their products are super expensive , especially to get them fixed .",expensive[-1][a] ," Their products are super expensive , especially to get them fixed .",expensive ,-1,negative
"products[+1] ## However , you DO get what you pay for in reliable products .",products[+1] ," However , you DO get what you pay for in reliable products .",products ,1,positive
## I have been using my MacbookPro for over a year now with no sluggishness or hesitation .,, I have been using my MacbookPro for over a year now with no sluggishness or hesitation .,,0,neutral
"customer service reps[+1] ## I do n't for-see myself having any issues with it in the coming year or two however if I do , I will know that with this product , it will be taken care of for free and quick with helpful and courteous customer service reps. The service of Amazon in getting this item to me was faster than I expected and it is exactly what I knew it would be .",customer service reps[+1] ," I do n't for-see myself having any issues with it in the coming year or two however if I do , I will know that with this product , it will be taken care of for free and quick with helpful and courteous customer service reps. The service of Amazon in getting this item to me was faster than I expected and it is exactly what I knew it would be .",customer service reps ,1,positive
## The package was unblemished and the code worked without any problems .,, The package was unblemished and the code worked without any problems .,,0,neutral
## Two thumbs way up from me .,, Two thumbs way up from me .,,0,neutral
"## Thanks again , Amazon !",," Thanks again , Amazon !",,0,neutral
## You have never let me down .,, You have never let me down .,,0,neutral
"## After several months of debating whether or not it was worth the money , I finally bought one of these babies .",," After several months of debating whether or not it was worth the money , I finally bought one of these babies .",,0,neutral
price[-1] ## I hesitated for so long because of the price .,price[-1] , I hesitated for so long because of the price .,price ,-1,negative
## I came close to ordering the 21 '' Samsung several times but really wanted a WS .,, I came close to ordering the 21 '' Samsung several times but really wanted a WS .,,0,neutral
"## After seeing the in the Apple stores several times , I really wanted one but $ 1300 was a big chunk of change .",," After seeing the in the Apple stores several times , I really wanted one but $ 1300 was a big chunk of change .",,0,neutral
## Then when the price dropped to below $ 1000 I gave in .,, Then when the price dropped to below $ 1000 I gave in .,,0,neutral
"display[+1] ## Overall , it is an impressive display .",display[+1] ," Overall , it is an impressive display .",display ,1,positive
## I am running it with a custom built PC using an ATI 9700 Pro w\/DVI out .,, I am running it with a custom built PC using an ATI 9700 Pro w\/DVI out .,,0,neutral
## At first I could not get the thing to work at native resolution at all and any other res would produce strange results .,, At first I could not get the thing to work at native resolution at all and any other res would produce strange results .,,0,neutral
"## Eventually , I discovered that something was wrong with my display drivers and I simply wiped out windows and started over from scratch -LRB- had been meaning to do it anyway and I upgraded the HD at the same time -RRB- .",," Eventually , I discovered that something was wrong with my display drivers and I simply wiped out windows and started over from scratch -LRB- had been meaning to do it anyway and I upgraded the HD at the same time -RRB- .",,0,neutral
"## After that , it worked like a champ .",," After that , it worked like a champ .",,0,neutral
## No problems whatsoever .,, No problems whatsoever .,,0,neutral
incompatibility[-1] ## My only grips are the incompatibility with XP and the USB hub in the display .,incompatibility[-1] , My only grips are the incompatibility with XP and the USB hub in the display .,incompatibility ,-1,negative
## This is a well know problem with the PCs and Apple does not seem to care .,, This is a well know problem with the PCs and Apple does not seem to care .,,0,neutral
"## Also , the only hard button controls you get are brightness and contrast .",," Also , the only hard button controls you get are brightness and contrast .",,0,neutral
